,leaid,rla_score
0,100005,32.0
1,100006,40.0
2,100007,69.0
3,100008,71.0
6,100013,70.0
16,100190,57.0
20,100210,64.0
21,100240,56.0
22,100270,50.0
26,100390,23.0
27,100420,48.0
31,100540,40.0
34,100660,37.0
46,101020,46.0
50,101140,34.0
51,101170,37.0
53,101230,40.0
55,101290,47.0
56,101320,54.0
58,101380,43.0
62,101530,50.0
65,101620,33.0
75,101770,45.0
76,101800,50.0
77,101830,36.0
80,101920,36.0
83,102010,47.0
84,102040,35.0
85,102070,37.0
86,102100,44.0
90,102220,54.0
94,102370,32.0
96,102430,34.0
97,102480,45.0
98,102490,89.0
101,102580,44.0
107,102700,35.0
118,103030,58.0
119,103062,47.0
123,103180,34.0
129,103360,36.0
130,103390,41.0
132,103430,81.0
133,103450,43.0
138,200001,8.0
155,200180,35.0
156,200210,40.0
162,200390,40.0
166,200510,39.0
171,200600,30.0
192,400001,70.0
248,400103,8.0
254,400112,53.0
291,400197,36.0
334,400273,11.0
347,400295,37.0
362,400329,35.0
370,400345,42.0
371,400347,36.0
372,400348,39.0
431,400432,35.0
442,400450,51.0
452,400612,15.0
455,400615,44.0
475,400680,47.0
483,400752,40.0
497,400772,40.0
515,400794,39.0
620,400920,23.0
671,401410,29.0
678,401740,32.0
681,401870,63.0
696,402690,39.0
700,402860,42.0
701,402920,34.0
711,403400,63.0
713,403450,49.0
718,403780,59.0
739,404630,45.0
745,404970,43.0
766,405930,46.0
774,406250,45.0
776,406330,30.0
802,407570,57.0
806,407750,59.0
815,408170,18.0
819,408340,56.0
824,408520,30.0
829,408800,41.0
831,408850,60.0
848,409630,21.0
849,409731,51.0
856,500015,44.0
858,500017,35.0
859,500019,44.0
863,500026,17.0
871,500042,36.0
872,500043,54.0
873,500044,36.0
878,500049,42.0
897,500394,43.0
899,500398,48.0
914,500417,46.0
916,500419,25.0
917,502250,49.0
928,502880,48.0
929,502960,56.0
930,503030,43.0
931,503060,62.0
941,503640,53.0
942,503690,56.0
944,503750,54.0
956,504380,43.0
959,504590,48.0
965,504930,46.0
976,505680,37.0
980,506060,30.0
981,506090,50.0
982,506120,58.0
986,506270,18.0
987,506330,47.0
995,506900,70.0
997,506990,71.0
1005,507380,51.0
1015,507890,31.0
1018,508040,28.0
1019,508130,40.0
1021,508280,38.0
1025,508610,51.0
1027,508670,55.0
1031,509000,31.0
1039,509390,31.0
1060,510440,43.0
1062,510680,32.0
1072,511610,51.0
1077,511850,36.0
1079,511970,49.0
1081,512060,53.0
1084,512210,53.0
1086,512450,46.0
1090,512540,49.0
1093,512660,40.0
1096,513080,49.0
1097,513110,36.0
1100,513380,76.0
1101,513410,51.0
1102,513530,56.0
1105,513930,21.0
1109,514140,46.0
1112,514430,44.0
1122,600013,74.0
1123,600014,39.0
1125,600016,58.0
1126,600017,46.0
1128,600019,79.0
1129,600020,81.0
1132,600025,83.0
1134,600027,44.0
1135,600028,76.0
1136,600029,62.0
1138,600032,56.0
1140,600034,55.0
1142,600036,51.0
1152,600047,54.0
1153,600048,58.0
1159,600062,49.0
1161,600064,56.0
1162,600065,54.0
1167,600153,64.0
1168,600158,62.0
1173,601332,44.0
1177,601414,59.0
1181,601421,39.0
1188,601620,73.0
1189,601650,81.0
1192,601770,68.0
1206,602430,41.0
1209,602630,52.0
1210,602670,68.0
1211,602700,54.0
1214,602820,37.0
1215,602850,44.0
1216,602970,64.0
1218,603030,57.0
1223,603300,53.0
1226,603600,54.0
1229,603690,51.0
1233,603840,34.0
1235,604020,39.0
1241,604290,54.0
1244,604440,62.0
1248,604620,57.0
1250,604740,66.0
1252,604830,80.0
1268,605610,78.0
1273,605820,56.0
1274,605880,59.0
1287,606450,65.0
1299,606900,44.0
1306,607230,69.0
1310,607440,74.0
1312,607500,66.0
1318,607800,65.0
1320,607900,52.0
1321,607920,46.0
1323,607970,49.0
1325,608010,57.0
1327,608130,54.0
1328,608160,65.0
1329,608190,45.0
1332,608370,62.0
1333,608460,57.0
1340,608760,70.0
1344,609030,76.0
1345,609070,37.0
1351,609390,50.0
1356,609620,28.0
1357,609640,62.0
1362,609850,65.0
1364,609940,55.0
1366,610050,58.0
1368,610260,73.0
1374,610620,77.0
1379,610860,64.0
1384,611110,54.0
1389,611460,57.0
1399,611820,61.0
1405,612070,68.0
1407,612120,56.0
1409,612180,52.0
1410,612210,80.0
1411,612330,56.0
1421,612910,56.0
1428,613360,49.0
1431,613530,51.0
1437,613890,68.0
1438,613920,53.0
1449,614400,78.0
1450,614430,80.0
1453,614550,42.0
1456,614760,62.0
1458,614820,47.0
1459,614880,65.0
1467,615180,57.0
1468,615240,67.0
1469,615270,73.0
1484,616230,60.0
1489,616325,55.0
1491,616500,58.0
1498,616740,46.0
1501,616920,49.0
1517,618060,71.0
1523,618390,30.0
1532,618930,61.0
1540,619260,41.0
1545,619490,59.0
1546,619540,49.0
1549,619650,47.0
1551,619700,70.0
1564,620130,86.0
1584,621000,64.0
1594,621400,51.0
1600,621600,57.0
1602,621690,62.0
1610,622110,61.0
1612,622230,48.0
1616,622410,46.0
1618,622500,49.0
1620,622590,75.0
1622,622710,51.0
1623,622740,47.0
1624,622800,84.0
1632,623080,58.0
1634,623160,37.0
1635,623340,42.0
1640,623610,47.0
1649,624030,46.0
1650,624090,43.0
1660,624500,72.0
1665,624660,45.0
1675,625150,47.0
1679,625320,63.0
1683,625470,45.0
1685,625530,56.0
1687,625690,56.0
1690,625800,41.0
1691,625830,61.0
1692,625860,35.0
1701,626310,79.0
1703,626370,53.0
1708,626640,53.0
1712,626880,62.0
1713,626910,67.0
1717,627060,49.0
1721,627240,60.0
1726,627590,43.0
1727,627690,46.0
1728,627720,68.0
1733,627850,87.0
1737,628050,35.0
1741,628250,52.0
1746,628650,60.0
1753,629130,49.0
1757,629270,43.0
1763,629490,51.0
1765,629550,47.0
1767,629610,88.0
1770,629700,73.0
1774,629850,44.0
1776,629940,49.0
1777,630030,32.0
1780,630210,49.0
1782,630250,70.0
1790,630600,36.0
1792,630660,72.0
1794,630750,74.0
1808,631320,44.0
1813,631530,72.0
1816,631710,52.0
1822,632010,42.0
1824,632070,73.0
1831,632370,46.0
1835,632550,40.0
1843,633150,50.0
1852,633630,72.0
1856,633750,60.0
1857,633840,48.0
1858,633860,71.0
1861,633980,47.0
1864,634140,54.0
1865,634170,44.0
1868,634320,61.0
1869,634380,80.0
1870,634410,61.0
1871,634425,67.0
1872,634440,40.0
1873,634590,52.0
1874,634620,50.0
1875,634680,44.0
1876,634710,51.0
1879,634800,69.0
1881,634880,62.0
1883,634980,71.0
1888,635110,54.0
1889,635130,87.0
1891,635250,67.0
1892,635310,35.0
1893,635430,56.0
1896,635600,58.0
1897,635670,44.0
1898,635700,78.0
1911,636270,57.0
1914,636390,62.0
1918,636600,56.0
1922,636800,65.0
1926,636840,64.0
1929,636970,56.0
1930,636972,40.0
1932,637050,35.0
1935,637200,49.0
1943,637500,79.0
1944,637530,54.0
1956,638010,33.0
1969,638640,59.0
1974,638790,72.0
1976,638980,70.0
1982,639420,72.0
1984,639630,65.0
1990,639930,54.0
1992,640150,70.0
1996,640300,51.0
1999,640590,59.0
2003,640740,32.0
2005,640980,52.0
2008,641160,56.0
2009,641190,62.0
2012,641280,77.0
2014,641430,53.0
2016,641580,44.0
2022,642000,57.0
2025,642140,65.0
2035,642480,57.0
2036,642510,78.0
2048,643080,53.0
2054,643470,59.0
2055,643560,58.0
2056,684500,73.0
2067,691012,20.0
2078,691024,16.0
2080,691026,12.0
2084,691030,7.0
2105,691078,33.0
2112,691135,46.0
2121,800020,52.0
2125,801920,61.0
2126,801950,13.0
2137,802340,20.0
2142,802490,67.0
2145,802580,26.0
2155,802910,56.0
2156,802940,73.0
2159,803060,36.0
2168,803330,40.0
2169,803360,34.0
2172,803450,58.0
2175,803540,38.0
2184,803870,29.0
2187,803990,59.0
2190,804080,36.0
2195,804260,36.0
2198,804350,35.0
2200,804410,26.0
2204,804530,30.0
2213,804800,52.0
2230,805310,64.0
2232,805370,50.0
2233,805400,46.0
2237,805550,25.0
2245,805790,31.0
2246,805820,64.0
2256,806120,27.0
2257,806150,41.0
2268,806480,30.0
2282,806900,39.0
2291,807230,12.0
2295,807350,47.0
2300,900002,36.0
2340,900450,33.0
2341,900510,55.0
2347,900700,50.0
2349,900750,81.0
2359,901020,52.0
2366,901260,46.0
2374,901470,66.0
2376,901530,81.0
2379,901620,81.0
2381,901710,86.0
2385,901860,57.0
2387,901920,36.0
2397,902310,51.0
2400,902400,42.0
2402,902520,70.0
2406,902670,31.0
2407,902700,89.0
2410,902790,38.0
2413,902880,75.0
2414,902910,82.0
2420,903090,54.0
2447,903660,84.0
2451,903810,88.0
2458,904050,72.0
2460,904110,89.0
2462,904170,73.0
2463,904230,73.0
2466,904320,56.0
2469,904440,51.0
2475,904620,80.0
2479,904740,65.0
2480,904830,29.0
2483,904920,77.0
2484,904950,44.0
2487,905040,91.0
2490,905130,89.0
2498,905371,55.0
2525,1000080,63.0
2526,1000170,60.0
2527,1000180,56.0
2528,1000190,36.0
2529,1000200,34.0
2530,1000230,30.0
2532,1000680,42.0
2537,1001240,55.0
2538,1001280,39.0
2539,1001300,50.0
2541,1001620,50.0
2556,1100030,31.0
2601,1200002,75.0
2602,1200030,59.0
2603,1200060,53.0
2604,1200090,53.0
2605,1200120,43.0
2606,1200150,60.0
2607,1200180,54.0
2608,1200210,60.0
2609,1200240,53.0
2610,1200270,51.0
2611,1200300,57.0
2612,1200330,57.0
2613,1200360,46.0
2614,1200390,53.0
2615,1200420,27.0
2617,1200480,49.0
2618,1200510,48.0
2619,1200540,56.0
2621,1200600,29.0
2622,1200630,65.0
2626,1200750,40.0
2627,1200780,40.0
2628,1200810,50.0
2629,1200840,43.0
2630,1200870,52.0
2631,1200900,50.0
2632,1200930,51.0
2633,1200960,52.0
2636,1201050,48.0
2637,1201080,51.0
2638,1201110,58.0
2639,1201140,41.0
2641,1201200,40.0
2642,1201230,52.0
2643,1201260,46.0
2644,1201290,60.0
2645,1201320,56.0
2646,1201350,65.0
2647,1201380,63.0
2648,1201410,47.0
2649,1201440,50.0
2650,1201470,48.0
2651,1201500,55.0
2652,1201530,55.0
2653,1201560,53.0
2654,1201590,43.0
2655,1201620,39.0
2656,1201650,63.0
2657,1201680,65.0
2658,1201710,60.0
2659,1201740,75.0
2660,1201770,53.0
2661,1201800,61.0
2662,1201830,44.0
2663,1201860,32.0
2664,1201890,57.0
2665,1201920,49.0
2666,1201950,56.0
2667,1201980,57.0
2668,1202010,49.0
2670,1202013,67.0
2674,1300001,34.0
2680,1300120,34.0
2694,1300227,56.0
2697,1300232,42.0
2715,1300290,38.0
2716,1300330,44.0
2719,1300420,31.0
2724,1300570,52.0
2725,1300600,70.0
2726,1300630,45.0
2731,1300780,54.0
2733,1300840,50.0
2734,1300870,45.0
2736,1300930,47.0
2738,1301020,36.0
2741,1301110,64.0
2743,1301170,31.0
2745,1301230,29.0
2747,1301290,59.0
2748,1301350,38.0
2749,1301380,38.0
2750,1301410,59.0
2753,1301500,52.0
2757,1301620,35.0
2759,1301680,73.0
2760,1301710,24.0
2761,1301740,35.0
2764,1301830,27.0
2765,1301860,42.0
2767,1301890,41.0
2770,1301980,53.0
2775,1302130,72.0
2776,1302190,47.0
2777,1302220,76.0
2779,1302280,56.0
2780,1302310,30.0
2783,1302400,55.0
2784,1302430,37.0
2787,1302520,25.0
2788,1302550,56.0
2789,1302580,50.0
2790,1302610,45.0
2793,1302700,55.0
2796,1302820,43.0
2797,1302880,44.0
2799,1302940,53.0
2806,1303150,45.0
2809,1303270,53.0
2810,1303300,42.0
2813,1303390,51.0
2816,1303480,56.0
2817,1303510,47.0
2819,1303570,32.0
2827,1303840,38.0
2828,1303870,40.0
2829,1303930,43.0
2830,1303960,75.0
2832,1304020,45.0
2835,1304110,47.0
2837,1304170,44.0
2838,1304200,41.0
2842,1304320,54.0
2844,1304380,25.0
2845,1304410,34.0
2846,1304440,46.0
2860,1304890,35.0
2862,1304980,40.0
2870,1305280,49.0
2871,1305310,32.0
2873,1305370,39.0
2874,1305390,47.0
2875,1305430,46.0
2878,1305550,34.0
2882,1305700,42.0
2887,1500030,60.0
2946,1600360,62.0
2951,1600510,40.0
2954,1600600,58.0
2956,1600660,48.0
2960,1600780,64.0
2966,1600930,53.0
2983,1601530,56.0
2984,1601570,55.0
2991,1601770,53.0
2992,1601800,66.0
2994,1601860,58.0
3002,1602100,68.0
3003,1602130,60.0
3010,1602340,56.0
3020,1602640,66.0
3021,1602670,70.0
3038,1603240,61.0
3212,1703600,31.0
3219,1703870,51.0
3224,1704020,24.0
3227,1704170,54.0
3237,1704680,13.0
3238,1704710,26.0
3242,1704920,46.0
3244,1705050,67.0
3247,1705220,55.0
3255,1705640,32.0
3257,1705790,32.0
3270,1706420,18.0
3272,1706480,35.0
3274,1706540,24.0
3280,1706960,33.0
3282,1707050,22.0
3307,1708400,45.0
3311,1708550,37.0
3327,1709420,40.0
3333,1709930,25.0
3346,1710650,27.0
3359,1711250,26.0
3362,1711370,53.0
3368,1711790,17.0
3373,1712000,32.0
3387,1712570,51.0
3388,1712700,66.0
3404,1713320,4.0
3409,1713530,51.0
3413,1713710,29.0
3417,1713940,33.0
3418,1713970,64.0
3428,1714490,56.0
3436,1715030,32.0
3464,1716380,61.0
3472,1716830,46.0
3480,1717280,21.0
3482,1717340,36.0
3486,1717550,54.0
3499,1718240,30.0
3514,1719080,73.0
3520,1719320,67.0
3524,1719560,39.0
3525,1719620,61.0
3528,1719830,52.0
3544,1720610,24.0
3567,1721780,75.0
3568,1721840,48.0
3570,1721900,60.0
3574,1722110,38.0
3579,1722500,59.0
3583,1722740,26.0
3586,1722830,74.0
3593,1723070,57.0
3600,1723350,49.0
3606,1723880,59.0
3611,1724090,47.0
3617,1724480,46.0
3634,1725320,35.0
3649,1726340,43.0
3651,1726400,30.0
3663,1726880,15.0
3674,1727570,39.0
3676,1727710,67.0
3687,1728200,80.0
3691,1728530,47.0
3693,1728620,44.0
3700,1729010,70.0
3705,1729220,24.0
3707,1729280,62.0
3716,1729790,50.0
3723,1730270,44.0
3725,1730330,34.0
3727,1730450,49.0
3746,1731110,30.0
3749,1731230,21.0
3759,1731740,39.0
3776,1732580,78.0
3782,1732910,23.0
3785,1733000,30.0
3791,1733270,26.0
3795,1733420,14.0
3807,1734020,51.0
3818,1734410,17.0
3821,1734510,22.0
3830,1734990,20.0
3871,1737080,28.0
3874,1737170,59.0
3897,1738460,47.0
3905,1738940,15.0
3906,1738970,8.0
3920,1739870,20.0
3923,1740070,30.0
3933,1740440,27.0
3942,1740800,48.0
3950,1741190,41.0
3951,1741250,12.0
3958,1741690,64.0
3965,1742180,56.0
3988,1743330,40.0
3992,1743890,23.0
3993,1743960,41.0
4006,1800030,80.0
4039,1800098,53.0
4068,1800150,30.0
4092,1800270,77.0
4094,1800360,63.0
4101,1800630,76.0
4106,1800840,50.0
4109,1801020,78.0
4113,1801200,86.0
4117,1801440,73.0
4123,1801890,63.0
4131,1802400,56.0
4135,1802490,75.0
4139,1802640,48.0
4142,1802800,68.0
4143,1802830,83.0
4144,1802850,60.0
4158,1803270,47.0
4161,1803450,53.0
4165,1803630,49.0
4167,1803690,59.0
4170,1803750,68.0
4175,1803930,54.0
4176,1803940,57.0
4179,1804050,58.0
4186,1804320,37.0
4191,1804590,76.0
4193,1804710,65.0
4194,1804770,24.0
4197,1805190,63.0
4200,1805370,35.0
4201,1805400,47.0
4202,1805450,66.0
4206,1805580,58.0
4207,1805670,46.0
4221,1806510,55.0
4222,1806570,40.0
4223,1806600,58.0
4226,1806840,46.0
4232,1807140,60.0
4234,1807260,64.0
4236,1807320,38.0
4237,1807350,87.0
4239,1807410,65.0
4244,1807650,79.0
4250,1807860,54.0
4265,1808250,82.0
4272,1808760,76.0
4273,1808820,49.0
4276,1808910,51.0
4278,1808970,78.0
4282,1809150,54.0
4286,1809370,62.0
4292,1809690,50.0
4299,1810080,53.0
4305,1810290,41.0
4310,1810440,63.0
4319,1810650,77.0
4333,1811190,71.0
4337,1811340,59.0
4348,1811970,78.0
4350,1812090,61.0
4355,1812360,40.0
4356,1812390,70.0
4357,1812420,59.0
4359,1812720,56.0
4360,1812810,36.0
4367,1813080,77.0
4396,1903540,89.0
4399,1903690,89.0
4417,1904860,86.0
4433,1906510,88.0
4434,1906540,70.0
4455,1907860,77.0
4461,1908220,61.0
4465,1908580,67.0
4471,1908970,53.0
4474,1909480,75.0
4527,1914700,76.0
4534,1915450,87.0
4548,1917220,78.0
4564,1918720,66.0
4583,1920130,74.0
4614,1923110,91.0
4637,1926400,72.0
4643,1926820,78.0
4664,1928680,82.0
4675,1930480,71.0
4676,1930510,87.0
4685,1930930,80.0
4728,2003200,39.0
4733,2003360,39.0
4789,2005460,30.0
4790,2005490,48.0
4793,2005580,12.0
4804,2005940,17.0
4816,2006390,17.0
4817,2006420,35.0
4821,2006540,39.0
4835,2007050,28.0
4850,2007620,20.0
4858,2007890,28.0
4859,2007950,11.0
4872,2008400,43.0
4873,2008430,27.0
4878,2008730,12.0
4888,2009140,38.0
4889,2009180,40.0
4913,2010140,41.0
4946,2011370,29.0
4953,2011640,41.0
4962,2012000,46.0
4970,2012260,20.0
4986,2012990,20.0
4992,2100081,46.0
5000,2100300,51.0
5006,2100510,57.0
5008,2100570,53.0
5014,2100750,44.0
5019,2100900,57.0
5023,2101020,43.0
5026,2101150,38.0
5027,2101200,47.0
5036,2101470,46.0
5047,2101860,51.0
5049,2101950,38.0
5051,2102010,42.0
5059,2102280,51.0
5064,2102490,47.0
5070,2102710,48.0
5073,2102860,48.0
5076,2102990,40.0
5078,2103030,45.0
5080,2103090,53.0
5084,2103210,46.0
5095,2103720,55.0
5098,2103810,51.0
5102,2103960,57.0
5105,2104050,50.0
5111,2104250,54.0
5114,2104410,47.0
5118,2104530,64.0
5127,2104800,45.0
5131,2104950,55.0
5140,2105260,57.0
5141,2105320,43.0
5153,2105730,48.0
5162,2106000,49.0
5169,2200030,70.0
5174,2200039,82.0
5181,2200090,85.0
5187,2200150,51.0
5194,2200180,70.0
5271,2200270,78.0
5298,2200300,66.0
